"","sample","species","count","perc16s2","species_name","common","sample.y","site","Collection.Date","day","month","year"
"28","21MD0006","CLUPAL",1276,38.1578947368421,"Clupea pallasii","Pacific_Herring","PV_006","Father and Son ",44188,23,12,2020
"29","21MD0006","GADMAC",179,5.35287081339713,"Gadus macrocephalus","Pacific_Cod","PV_006","Father and Son ",44188,23,12,2020
"30","21MD0007","CLUPAL",648,9.67164179104478,"Clupea pallasii","Pacific_Herring","PV_007","Father and Son ",44188,23,12,2020
"31","21MD0007","LIPFUC",160,2.38805970149254,"Liparis fucensis","Slipskin_Snailfish","PV_007","Father and Son ",44188,23,12,2020
"32","21MD0007","OPHELO",5207,77.7164179104478,"Ophiodon elongatus","Lingcod","PV_007","Father and Son ",44188,23,12,2020
"33","21MD0007","ENTDOF",685,10.2238805970149,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_007","Father and Son ",44188,23,12,2020
"34","21MD0008","OPHELO",2300,41.49377593361,"Ophiodon elongatus","Lingcod","PV_008","Cooke Rock",44188,23,12,2020
"35","21MD0008","THECHA",90,1.6236694930543,"Gadus_chalcogrammus","Walleye_Pollock","PV_008","Cooke Rock",44188,23,12,2020
"36","21MD0008","HEMSPI",3153,56.8825545733357,"Hemilepidotus spinosus","Brown_Irish_Lord","PV_008","Cooke Rock",44188,23,12,2020
"37","21MD0009","SEBAST",17972,26.6031144531944,"Sebastes sp.","Sebastes sp.","PV_009","Cooke Rock",44188,23,12,2020
"38","21MD0009","PARVET",36413,53.9004677600805,"Parophrys vetulus","English_Sole","PV_009","Cooke Rock",44188,23,12,2020
"39","21MD0009","CITSOR",13171,19.4964177867251,"Citharichthys xanthostigma","Pacific_sanddab","PV_009","Cooke Rock",44188,23,12,2020
"40","21MD0010","AULFLA",27,15.2542372881356,"Aulorhynchus flavidus","Tube_snout","PV_010","Cooke Rock",44188,23,12,2020
"41","21MD0010","HEXDEC",58,32.7683615819209,"Hexagrammos decagrammus","Kelp_Greenling","PV_010","Cooke Rock",44188,23,12,2020
"42","21MD0010","RAJRHI",5,2.82485875706215,"Raja rhina","Longnose_Skate","PV_010","Cooke Rock",44188,23,12,2020
"43","21MD0010","BRAFRE",4,2.25988700564972,"Brachyistius frenatus","Kelp_Surfperch","PV_010","Cooke Rock",44188,23,12,2020
"44","21MD0010","SEBALA",6,3.38983050847458,"Sebastolobus alascanus","Shortspine_Thornyhead","PV_010","Cooke Rock",44188,23,12,2020
"45","21MD0010","HYDCOL",3,1.69491525423729,"Hydrolagus colliei","Spotted_Ratfish","PV_010","Cooke Rock",44188,23,12,2020
"46","21MD0010","ONCKIS",26,14.6892655367232,"Oncorhynchus kisutch","Coho_Salmon","PV_010","Cooke Rock",44188,23,12,2020
"47","21MD0010","THECHA",22,12.4293785310734,"Gadus_chalcogrammus","Walleye_Pollock","PV_010","Cooke Rock",44188,23,12,2020
"48","21MD0010","HIPELA",26,14.6892655367232,"Hippoglossoides elassodon","Flathead_Sole","PV_010","Cooke Rock",44188,23,12,2020
"49","21MD0011","CLUPAL",69298,100,"Clupea pallasii","Pacific_Herring","PV_011","Waadah Island ",44215,19,1,2021
"50","21MD0012","PSEMEL",32,100,"Psettichthys melanostictus","Sand_Sole","PV_012","Waadah Island ",44215,19,1,2021
"51","21MD0013","SCOMAR",22,1.4945652173913,"Scorpaenichthys marmoratus","Cabezon","PV_013","Waadah Island ",44215,19,1,2021
"52","21MD0013","THECHA",221,15.0135869565217,"Gadus_chalcogrammus","Walleye_Pollock","PV_013","Waadah Island ",44215,19,1,2021
"53","21MD0013","SQUACA",143,9.71467391304348,"Squalus acanthias","Spiny_Dogfish","PV_013","Waadah Island ",44215,19,1,2021
"54","21MD0013","AULFLA",60,4.07608695652174,"Aulorhynchus flavidus","Tube_snout","PV_013","Waadah Island ",44215,19,1,2021
"55","21MD0013","PARVET",73,4.95923913043478,"Parophrys vetulus","English_Sole","PV_013","Waadah Island ",44215,19,1,2021
"56","21MD0013","SEBELO",80,5.43478260869565,"Sebastes elongatus","Green_Striped_Rockfish","PV_013","Waadah Island ",44215,19,1,2021
"57","21MD0013","HEXDEC",166,11.2771739130435,"Hexagrammos decagrammus","Kelp_Greenling","PV_013","Waadah Island ",44215,19,1,2021
"58","21MD0013","ONCMYK",24,1.6304347826087,"Oncorhynchus mykiss","Steelhead","PV_013","Waadah Island ",44215,19,1,2021
"59","21MD0013","GADMAC",68,4.6195652173913,"Gadus macrocephalus","Pacific_Cod","PV_013","Waadah Island ",44215,19,1,2021
"60","21MD0013","CLUPAL",513,34.8505434782609,"Clupea pallasii","Pacific_Herring","PV_013","Waadah Island ",44215,19,1,2021
"61","21MD0013","ONCKIS",102,6.92934782608696,"Oncorhynchus kisutch","Coho_Salmon","PV_013","Waadah Island ",44215,19,1,2021
"62","21MD0014","HEXDEC",111242,92.424393486208,"Hexagrammos decagrammus","Kelp_Greenling","PV_014","Waadah Island ",44215,19,1,2021
"63","21MD0014","BRAFRE",9118,7.57560651379196,"Brachyistius frenatus","Kelp_Surfperch","PV_014","Waadah Island ",44215,19,1,2021
"64","21MD0015","ONCTSH",19,14.1791044776119,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_015","Waadah Island ",44215,19,1,2021
"65","21MD0015","CLUPAL",85,63.4328358208955,"Clupea pallasii","Pacific_Herring","PV_015","Waadah Island ",44215,19,1,2021
"66","21MD0015","THECHA",10,7.46268656716418,"Gadus_chalcogrammus","Walleye_Pollock","PV_015","Waadah Island ",44215,19,1,2021
"67","21MD0015","NAUOCU",4,2.98507462686567,"Nautichthys oculofasciatus","Sailfin_Sculpin","PV_015","Waadah Island ",44215,19,1,2021
"68","21MD0015","BRAFRE",6,4.47761194029851,"Brachyistius frenatus","Kelp_Surfperch","PV_015","Waadah Island ",44215,19,1,2021
"69","21MD0015","SEBALA",4,2.98507462686567,"Sebastolobus alascanus","Shortspine_Thornyhead","PV_015","Waadah Island ",44215,19,1,2021
"70","21MD0015","AULFLA",6,4.47761194029851,"Aulorhynchus flavidus","Tube_snout","PV_015","Waadah Island ",44215,19,1,2021
"71","21MD0016","HEXDEC",58,6.79953106682298,"Hexagrammos decagrammus","Kelp_Greenling","PV_016","Waadah Island ",44215,19,1,2021
"72","21MD0016","THECHA",253,29.6600234466589,"Gadus_chalcogrammus","Walleye_Pollock","PV_016","Waadah Island ",44215,19,1,2021
"73","21MD0016","GADMAC",10,1.17233294255569,"Gadus macrocephalus","Pacific_Cod","PV_016","Waadah Island ",44215,19,1,2021
"74","21MD0016","CLUPAL",532,62.3681125439625,"Clupea pallasii","Pacific_Herring","PV_016","Waadah Island ",44215,19,1,2021
"75","21MD0017","HEXDEC",97159,97.4914458302813,"Hexagrammos decagrammus","Kelp_Greenling","PV_017","Waadah Island ",44215,19,1,2021
"76","21MD0017","SEBAST",2500,2.50855416971874,"Sebastes sp.","Sebastes sp.","PV_017","Waadah Island ",44215,19,1,2021
"77","21MD0018","ONCMYK",29,8.68263473053892,"Oncorhynchus mykiss","Steelhead","PV_018","Waddah Island",44216,20,1,2021
"78","21MD0018","RAJRHI",44,13.1736526946108,"Raja rhina","Longnose_Skate","PV_018","Waddah Island",44216,20,1,2021
"79","21MD0018","HIPELA",18,5.38922155688623,"Hippoglossoides elassodon","Flathead_Sole","PV_018","Waddah Island",44216,20,1,2021
"80","21MD0018","THECHA",27,8.08383233532934,"Gadus_chalcogrammus","Walleye_Pollock","PV_018","Waddah Island",44216,20,1,2021
"81","21MD0018","SEBAST",62,18.562874251497,"Sebastes sp.","Sebastes sp.","PV_018","Waddah Island",44216,20,1,2021
"82","21MD0018","AULFLA",26,7.78443113772455,"Aulorhynchus flavidus","Tube_snout","PV_018","Waddah Island",44216,20,1,2021
"83","21MD0018","HEXDEC",47,14.0718562874251,"Hexagrammos decagrammus","Kelp_Greenling","PV_018","Waddah Island",44216,20,1,2021
"84","21MD0018","SEBALA",20,5.98802395209581,"Sebastolobus alascanus","Shortspine_Thornyhead","PV_018","Waddah Island",44216,20,1,2021
"85","21MD0018","OPHELO",21,6.2874251497006,"Ophiodon elongatus","Lingcod","PV_018","Waddah Island",44216,20,1,2021
"86","21MD0018","CLUPAL",36,10.7784431137725,"Clupea pallasii","Pacific_Herring","PV_018","Waddah Island",44216,20,1,2021
"87","21MD0018","PARVET",4,1.19760479041916,"Parophrys vetulus","English_Sole","PV_018","Waddah Island",44216,20,1,2021
"88","21MD0019","CLUPAL",30,9.70873786407767,"Clupea pallasii","Pacific_Herring","PV_019","Waddah Island",44216,20,1,2021
"89","21MD0019","HEXDEC",55,17.7993527508091,"Hexagrammos decagrammus","Kelp_Greenling","PV_019","Waddah Island",44216,20,1,2021
"90","21MD0019","ENTDOF",216,69.9029126213592,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_019","Waddah Island",44216,20,1,2021
"91","21MD0019","RAJRHI",8,2.58899676375405,"Raja rhina","Longnose_Skate","PV_019","Waddah Island",44216,20,1,2021
"92","21MD0020","HEXDEC",12,5.21739130434783,"Hexagrammos decagrammus","Kelp_Greenling","PV_020","Waddah Island",44216,20,1,2021
"93","21MD0020","GADMAC",31,13.4782608695652,"Gadus macrocephalus","Pacific_Cod","PV_020","Waddah Island",44216,20,1,2021
"94","21MD0020","THECHA",119,51.7391304347826,"Gadus_chalcogrammus","Walleye_Pollock","PV_020","Waddah Island",44216,20,1,2021
"95","21MD0020","ONCKIS",68,29.5652173913043,"Oncorhynchus kisutch","Coho_Salmon","PV_020","Waddah Island",44216,20,1,2021
"96","21MD0021","RAJRHI",10,2.38095238095238,"Raja rhina","Longnose_Skate","PV_021","Waddah Island",44216,20,1,2021
"97","21MD0021","ONCKIS",16,3.80952380952381,"Oncorhynchus kisutch","Coho_Salmon","PV_021","Waddah Island",44216,20,1,2021
"98","21MD0021","STRPUR",362,86.1904761904762,"Strongylocentrotus purpuratus","Pacific_Purple_Sea_Urchin","PV_021","Waddah Island",44216,20,1,2021
"99","21MD0021","ONCMYK",13,3.0952380952381,"Oncorhynchus mykiss","Steelhead","PV_021","Waddah Island",44216,20,1,2021
"100","21MD0021","HEXDEC",11,2.61904761904762,"Hexagrammos decagrammus","Kelp_Greenling","PV_021","Waddah Island",44216,20,1,2021
"101","21MD0021","OPHELO",8,1.9047619047619,"Ophiodon elongatus","Lingcod","PV_021","Waddah Island",44216,20,1,2021
"102","21MD0022","ONCKIS",30,19.4805194805195,"Oncorhynchus kisutch","Coho_Salmon","PV_022","Waddah Island",44216,20,1,2021
"103","21MD0022","HEXDEC",5,3.24675324675325,"Hexagrammos decagrammus","Kelp_Greenling","PV_022","Waddah Island",44216,20,1,2021
"104","21MD0022","PARVET",39,25.3246753246753,"Parophrys vetulus","English_Sole","PV_022","Waddah Island",44216,20,1,2021
"105","21MD0022","SEBAST",13,8.44155844155844,"Sebastes sp.","Sebastes sp.","PV_022","Waddah Island",44216,20,1,2021
"106","21MD0022","THECHA",18,11.6883116883117,"Gadus_chalcogrammus","Walleye_Pollock","PV_022","Waddah Island",44216,20,1,2021
"107","21MD0022","SQUACA",7,4.54545454545455,"Squalus acanthias","Spiny_Dogfish","PV_022","Waddah Island",44216,20,1,2021
"108","21MD0022","OPHELO",11,7.14285714285714,"Ophiodon elongatus","Lingcod","PV_022","Waddah Island",44216,20,1,2021
"109","21MD0022","CLUPAL",31,20.1298701298701,"Clupea pallasii","Pacific_Herring","PV_022","Waddah Island",44216,20,1,2021
"110","21MD0023","RAJRHI",15,53.5714285714286,"Raja rhina","Longnose_Skate","PV_023","Waddah Island",44216,20,1,2021
"111","21MD0023","PARVET",5,17.8571428571429,"Parophrys vetulus","English_Sole","PV_023","Waddah Island",44216,20,1,2021
"112","21MD0023","HEXDEC",8,28.5714285714286,"Hexagrammos decagrammus","Kelp_Greenling","PV_023","Waddah Island",44216,20,1,2021
"113","21MD0025","BRAFRE",8,2.26628895184136,"Brachyistius frenatus","Kelp_Surfperch","PV_024","Waddah Island",44216,20,1,2021
"114","21MD0025","OPHELO",12,3.39943342776204,"Ophiodon elongatus","Lingcod","PV_024","Waddah Island",44216,20,1,2021
"115","21MD0025","CLUPAL",59,16.71388101983,"Clupea pallasii","Pacific_Herring","PV_024","Waddah Island",44216,20,1,2021
"116","21MD0025","SEBALA",12,3.39943342776204,"Sebastolobus alascanus","Shortspine_Thornyhead","PV_024","Waddah Island",44216,20,1,2021
"117","21MD0025","ONCMYK",14,3.96600566572238,"Oncorhynchus mykiss","Steelhead","PV_024","Waddah Island",44216,20,1,2021
"118","21MD0025","THECHA",54,15.2974504249292,"Gadus_chalcogrammus","Walleye_Pollock","PV_024","Waddah Island",44216,20,1,2021
"119","21MD0025","HIPELA",12,3.39943342776204,"Hippoglossoides elassodon","Flathead_Sole","PV_024","Waddah Island",44216,20,1,2021
"120","21MD0025","SCOMAR",8,2.26628895184136,"Scorpaenichthys marmoratus","Cabezon","PV_024","Waddah Island",44216,20,1,2021
"121","21MD0025","RAJRHI",6,1.69971671388102,"Raja rhina","Longnose_Skate","PV_024","Waddah Island",44216,20,1,2021
"122","21MD0025","HEXDEC",35,9.91501416430595,"Hexagrammos decagrammus","Kelp_Greenling","PV_024","Waddah Island",44216,20,1,2021
"123","21MD0025","SQUACA",133,37.6770538243626,"Squalus acanthias","Spiny_Dogfish","PV_024","Waddah Island",44216,20,1,2021
"124","21MD0026","ONCMYK",84,4.29887410440123,"Oncorhynchus mykiss","Steelhead","PV_025","Waddah Island",44216,20,1,2021
"125","21MD0026","HEXLAG",20,1.02354145342886,"Hexagrammos_lagocephalus","Rock_Greenling","PV_025","Waddah Island",44216,20,1,2021
"126","21MD0026","AULFLA",43,2.20061412487206,"Aulorhynchus flavidus","Tube_snout","PV_025","Waddah Island",44216,20,1,2021
"127","21MD0026","CLUPAL",427,21.8526100307062,"Clupea pallasii","Pacific_Herring","PV_025","Waddah Island",44216,20,1,2021
"128","21MD0026","GADMAC",29,1.48413510747185,"Gadus macrocephalus","Pacific_Cod","PV_025","Waddah Island",44216,20,1,2021
"129","21MD0026","SCOMAR",28,1.43295803480041,"Scorpaenichthys marmoratus","Cabezon","PV_025","Waddah Island",44216,20,1,2021
"130","21MD0026","ONCKET",30,1.5353121801433,"Oncorhynchus keta","Chum_Salmon","PV_025","Waddah Island",44216,20,1,2021
"131","21MD0026","ONCKIS",102,5.22006141248721,"Oncorhynchus kisutch","Coho_Salmon","PV_025","Waddah Island",44216,20,1,2021
"132","21MD0026","PARVET",94,4.81064483111566,"Parophrys vetulus","English_Sole","PV_025","Waddah Island",44216,20,1,2021
"133","21MD0026","HEXDEC",129,6.60184237461617,"Hexagrammos decagrammus","Kelp_Greenling","PV_025","Waddah Island",44216,20,1,2021
"134","21MD0026","SEBELO",82,4.19651995905834,"Sebastes elongatus","Green_Striped_Rockfish","PV_025","Waddah Island",44216,20,1,2021
"135","21MD0026","THECHA",36,1.84237461617195,"Gadus_chalcogrammus","Walleye_Pollock","PV_025","Waddah Island",44216,20,1,2021
"136","21MD0026","SQUACA",850,43.5005117707267,"Squalus acanthias","Spiny_Dogfish","PV_025","Waddah Island",44216,20,1,2021
"137","21MD0027","SEBAST",54,2.4085637823372,"Sebastes sp.","Sebastes sp.","PV_026","Waddah Island",44218,22,1,2021
"138","21MD0027","OPHELO",2188,97.5914362176628,"Ophiodon elongatus","Lingcod","PV_026","Waddah Island",44218,22,1,2021
"139","21MD0028","SCOMAR",6,1.52284263959391,"Scorpaenichthys marmoratus","Cabezon","PV_027","Wa'atch Point",44224,28,1,2021
"140","21MD0028","ALLELO",388,98.4771573604061,"Allosmerus elongatus","Whitebait_smelt","PV_027","Wa'atch Point",44224,28,1,2021
"141","21MD0029","CLUPAL",174,9.16271721958926,"Clupea pallasii","Pacific_Herring","PV_028","Wa'atch Point",44224,28,1,2021
"142","21MD0029","ICEFIL",880,46.3401790416008,"Icelinus filamentosus","Threadfin_Sculpin","PV_028","Wa'atch Point",44224,28,1,2021
"143","21MD0029","HEXDEC",72,3.7914691943128,"Hexagrammos decagrammus","Kelp_Greenling","PV_028","Wa'atch Point",44224,28,1,2021
"144","21MD0029","THECHA",33,1.73775671406003,"Gadus_chalcogrammus","Walleye_Pollock","PV_028","Wa'atch Point",44224,28,1,2021
"145","21MD0029","ONCMYK",28,1.47446024223275,"Oncorhynchus mykiss","Steelhead","PV_028","Wa'atch Point",44224,28,1,2021
"146","21MD0029","SEBELO",712,37.4934175882043,"Sebastes elongatus","Green_Striped_Rockfish","PV_028","Wa'atch Point",44224,28,1,2021
"147","21MD0030","SEBAST",10848,33.1520078234827,"Sebastes sp.","Sebastes sp.","PV_029","Wa'atch Point",44235,8,2,2021
"148","21MD0030","HEXLAG",10302,31.4834056598007,"Hexagrammos_lagocephalus","Rock_Greenling","PV_029","Wa'atch Point",44235,8,2,2021
"149","21MD0030","ARTCOR",1008,3.08049630218202,"Artedius corallinus","Coralline_Sculpin","PV_029","Wa'atch Point",44235,8,2,2021
"150","21MD0030","GOBMAE",348,1.06350467575332,"Gobiesox maeandricus","Northern_Klingfish","PV_029","Wa'atch Point",44235,8,2,2021
"151","21MD0030","HEMHEM",10216,31.2205855387812,"Hemilepidotus hemilepidotus","Red_Irish_Lord","PV_029","Wa'atch Point",44235,8,2,2021
"152","21MD0031","ENTDOF",10654,43.8057645656017,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_030","Wa'atch Point",44235,8,2,2021
"153","21MD0031","OPHELO",13667,56.1942354343983,"Ophiodon elongatus","Lingcod","PV_030","Wa'atch Point",44235,8,2,2021
"154","21MD0032","OPHELO",5,14.2857142857143,"Ophiodon elongatus","Lingcod","PV_031","Wa'atch Point",44235,8,2,2021
"155","21MD0032","HEXDEC",6,17.1428571428571,"Hexagrammos decagrammus","Kelp_Greenling","PV_031","Wa'atch Point",44235,8,2,2021
"156","21MD0032","THECHA",5,14.2857142857143,"Gadus_chalcogrammus","Walleye_Pollock","PV_031","Wa'atch Point",44235,8,2,2021
"157","21MD0032","ONCMYK",7,20,"Oncorhynchus mykiss","Steelhead","PV_031","Wa'atch Point",44235,8,2,2021
"158","21MD0032","SEBAST",9,25.7142857142857,"Sebastes sp.","Sebastes sp.","PV_031","Wa'atch Point",44235,8,2,2021
"159","21MD0032","PARVET",3,8.57142857142857,"Parophrys vetulus","English_Sole","PV_031","Wa'atch Point",44235,8,2,2021
"160","21MD0033","HEXDEC",186,1.24439686893691,"Hexagrammos decagrammus","Kelp_Greenling","PV_032","Wa'atch Point",44235,8,2,2021
"161","21MD0033","OPHELO",1670,11.1728105974443,"Ophiodon elongatus","Lingcod","PV_032","Wa'atch Point",44235,8,2,2021
"162","21MD0033","SEBAST",13091,87.5827925336188,"Sebastes sp.","Sebastes sp.","PV_032","Wa'atch Point",44235,8,2,2021
"163","21MD0034","SEBALA",6,2.6431718061674,"Sebastolobus alascanus","Shortspine_Thornyhead","PV_033","Wa'atch Point",44235,8,2,2021
"164","21MD0034","ARTHAR",4,1.76211453744493,"Artedius harringtoni","Scalyhead_Sculpin","PV_033","Wa'atch Point",44235,8,2,2021
"165","21MD0034","ONCKIS",46,20.2643171806167,"Oncorhynchus kisutch","Coho_Salmon","PV_033","Wa'atch Point",44235,8,2,2021
"166","21MD0034","THECHA",40,17.6211453744493,"Gadus_chalcogrammus","Walleye_Pollock","PV_033","Wa'atch Point",44235,8,2,2021
"167","21MD0034","PARVET",5,2.20264317180617,"Parophrys vetulus","English_Sole","PV_033","Wa'atch Point",44235,8,2,2021
"168","21MD0034","SCOMAR",22,9.69162995594714,"Scorpaenichthys marmoratus","Cabezon","PV_033","Wa'atch Point",44235,8,2,2021
"169","21MD0034","BRAFRE",26,11.4537444933921,"Brachyistius frenatus","Kelp_Surfperch","PV_033","Wa'atch Point",44235,8,2,2021
"170","21MD0034","HEXLAG",20,8.81057268722467,"Hexagrammos_lagocephalus","Rock_Greenling","PV_033","Wa'atch Point",44235,8,2,2021
"171","21MD0034","AULFLA",46,20.2643171806167,"Aulorhynchus flavidus","Tube_snout","PV_033","Wa'atch Point",44235,8,2,2021
"172","21MD0034","GADMAC",12,5.2863436123348,"Gadus macrocephalus","Pacific_Cod","PV_033","Wa'atch Point",44235,8,2,2021
"173","21MD0035","OPHELO",37292,72.1929688709927,"Ophiodon elongatus","Lingcod","PV_034","Wa'atch Point",44251,24,2,2021
"174","21MD0035","HEMHEM",14364,27.8070311290073,"Hemilepidotus hemilepidotus","Red_Irish_Lord","PV_034","Wa'atch Point",44251,24,2,2021
"175","21MD0036","OPHELO",175,2.29177579884756,"Ophiodon elongatus","Lingcod","PV_035","Wa'atch Point",44251,24,2,2021
"176","21MD0036","ENTDOF",7461,97.7082242011524,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_035","Wa'atch Point",44251,24,2,2021
"177","21MD0037","HEMHEM",1322,2.62400508128064,"Hemilepidotus hemilepidotus","Red_Irish_Lord","PV_036","Wa'atch Point",44251,24,2,2021
"178","21MD0037","ARTCOR",7538,14.9619896389512,"Artedius corallinus","Coralline_Sculpin","PV_036","Wa'atch Point",44251,24,2,2021
"179","21MD0037","ARTHAR",9492,18.840435878605,"Artedius harringtoni","Scalyhead_Sculpin","PV_036","Wa'atch Point",44251,24,2,2021
"180","21MD0037","LIPMUC",1238,2.45727556023104,"Liparis mucosus","Slimy_Snailfish","PV_036","Wa'atch Point",44251,24,2,2021
"181","21MD0037","HEXDEC",5353,10.6250372164109,"Hexagrammos decagrammus","Kelp_Greenling","PV_036","Wa'atch Point",44251,24,2,2021
"182","21MD0037","LIPFUC",1360,2.69943034080308,"Liparis fucensis","Slipskin_Snailfish","PV_036","Wa'atch Point",44251,24,2,2021
"183","21MD0037","OLISNY",2120,4.20793553125186,"Oligocottus snyderi","Fluffy_sculpin","PV_036","Wa'atch Point",44251,24,2,2021
"184","21MD0037","SCOMAR",9914,19.6780532343542,"Scorpaenichthys marmoratus","Cabezon","PV_036","Wa'atch Point",44251,24,2,2021
"185","21MD0037","HEMSPI",9578,19.0111351501558,"Hemilepidotus spinosus","Brown_Irish_Lord","PV_036","Wa'atch Point",44251,24,2,2021
"186","21MD0037","SEBAST",2466,4.89470236795617,"Sebastes sp.","Sebastes sp.","PV_036","Wa'atch Point",44251,24,2,2021
"187","21MD0038","HEXLAG",994,48.6539402838962,"Hexagrammos_lagocephalus","Rock_Greenling","PV_037","Wa'atch Point",44251,24,2,2021
"188","21MD0038","SCOMAR",368,18.0127263827704,"Scorpaenichthys marmoratus","Cabezon","PV_037","Wa'atch Point",44251,24,2,2021
"189","21MD0038","OPHELO",681,33.3333333333333,"Ophiodon elongatus","Lingcod","PV_037","Wa'atch Point",44251,24,2,2021
"190","21MD0039","ENTDOF",243,6.29696812645763,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_038","Wa'atch Point",44251,24,2,2021
"191","21MD0039","HEMSPI",3616,93.7030318735424,"Hemilepidotus spinosus","Brown_Irish_Lord","PV_038","Wa'atch Point",44251,24,2,2021
"192","21MD0040","GLYZAC",2240,11.8031404784487,"Glyptocephalus zachirus","Rex_sole","PV_039","Wa'atch Point",44251,24,2,2021
"193","21MD0040","OPHELO",16738,88.1968595215513,"Ophiodon elongatus","Lingcod","PV_039","Wa'atch Point",44251,24,2,2021
"194","21MD0041","OPHELO",9068,12.2719644887133,"Ophiodon elongatus","Lingcod","PV_040","Wa'atch Point",44251,24,2,2021
"195","21MD0041","SEBENT",64824,87.7280355112867,"Sebastes entomelas","Widow_Rockfish","PV_040","Wa'atch Point",44251,24,2,2021
"196","21MD0042","OPHELO",13917,100,"Ophiodon elongatus","Lingcod","PV_041","Wa'atch Point",44251,24,2,2021
"197","21MD0043","HEXDEC",10,15.8730158730159,"Hexagrammos decagrammus","Kelp_Greenling","PV_042","Waadah Island ",44255,28,2,2021
"198","21MD0043","ONCTSH",3,4.76190476190476,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_042","Waadah Island ",44255,28,2,2021
